Table Code,State Code,District Code,Area Name,Total/ Rural/ Urban,Age group,Worked for 3 months or more but less than 6 months -  Persons,Worked for 3 months or more but less than 6 months - Males,Worked for 3 months or more but less than 6 months - Females,Worked for less than 3 months - Persons,Worked for less than 3 months - Males,Worked for less than 3 months - Females,Industrial Category - A - Cultivators - Persons,Industrial Category - A - Cultivators - Males,Industrial Category - A - Cultivators - Females,Industrial Category - A - Agricultural labourers - Persons,Industrial Category - A - Agricultural labourers - Males,Industrial Category - A - Agricultural labourers - Females,"Industrial Category - A - Plantation, Livestock, Forestry, Fishing, Hunting and allied activities - Persons","Industrial Category - A - Plantation, Livestock, Forestry, Fishing, Hunting and allied activities - Males","Industrial Category - A - Plantation, Livestock, Forestry, Fishing, Hunting and allied activities - Females",Industrial Category - B - Persons,Industrial Category - B - Males,Industrial Category - B - Females,Industrial Category - C - HHI - Persons,Industrial Category - C - HHI - Males,Industrial Category - C - HHI - Females,Industrial Category - C - Non HHI - Persons,Industrial Category - C - Non HHI - Males,Industrial Category - C - Non HHI - Females,Industrial Category - D & E - Persons,Industrial Category - D & E - Males,Industrial Category - D & E - Females,Industrial Category - F - Persons,Industrial Category - F - Males,Industrial Category - F - Females,Industrial Category - G - HHI - Persons,Industrial Category - G - HHI - Males,Industrial Category - G - HHI - Females,Industrial Category - G - Non HHI - Persons,Industrial Category - G - Non HHI - Males,Industrial Category - G - Non HHI - Females,Industrial Category - H - Persons,Industrial Category - H - Males,Industrial Category - H - Females,Industrial Category - I - Persons,Industrial Category - I - Males,Industrial Category - I - Females,Industrial Category - J - HHI - Persons,Industrial Category - J - HHI - Males,Industrial Category - J - HHI - Females,Industrial Category - J - Non HHI - Persons,Industrial Category - J - Non HHI - Males,Industrial Category - J - Non HHI - Females,Industrial Category - K to M - Persons,Industrial Category - K to M - Males,Industrial Category - K to M - Females,Industrial Category - N to O - Persons,Industrial Category - N to O - Males,Industrial Category - N to O - Females,Industrial Category - P to Q - Persons,Industrial Category - P to Q - Males,Industrial Category - P to Q - Females,Industrial Category - R to U - HHI - Persons,Industrial Category - R to U - HHI - Males,Industrial Category - R to U - HHI - Females,Industrial Category - R to U - Non HHI - Persons,Industrial Category - R to U - Non HHI - Males,Industrial Category - R to U - Non HHI - Females
B0706,`33,`617,District - Cuddalore,Total,Total,280219,140247,139972,52600,23173,29427,29135,17221,11914,213813,94513,119300,4806,3534,1272,996,931,65,5757,2456,3301,6860,4895,1965,331,315,16,13777,8972,4805,47,42,5,6723,4962,1761,3525,3458,67,1766,1462,304,23,23,0,479,349,130,786,661,125,977,673,304,2282,907,1375,7177,1711,5466,33559,16335,17224
B0706,`33,`617,District - Cuddalore,Total,`5-9,2694,1384,1310,123,56,67,302,175,127,345,163,182,16,6,10,0,0,0,0,0,0,10,4,6,0,0,0,12,12,0,0,0,0,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,8,8,0,43,24,19,2074,1043,1031
B0706,`33,`617,District - Cuddalore,Total,`10-14,4040,1996,2044,403,185,218,369,183,186,1019,475,544,12,0,12,2,2,0,36,14,22,51,24,27,0,0,0,42,31,11,0,0,0,43,28,15,3,3,0,13,13,0,0,0,0,0,0,0,6,6,0,6,6,0,32,20,12,97,37,60,2712,1339,1373
B0706,`33,`617,District - Cuddalore,Total,15-19,14643,7580,7063,2501,1287,1214,1305,683,622,8406,4056,4350,163,133,30,36,36,0,257,76,181,535,293,242,15,15,0,662,577,85,6,6,0,419,297,122,179,164,15,91,91,0,6,6,0,15,12,3,18,14,4,13,4,9,81,34,47,414,166,248,4523,2204,2319
B0706,`33,`617,District - Cuddalore,Total,20-24,29683,15190,14493,5510,2561,2949,2597,1366,1231,19528,8491,11037,506,391,115,146,141,5,498,157,341,1045,741,304,45,45,0,1695,1358,337,5,5,0,730,551,179,581,571,10,112,103,9,9,9,0,157,94,63,61,32,29,92,53,39,422,68,354,788,190,598,6176,3385,2791
B0706,`33,`617,District - Cuddalore,Total,25-29,38504,18968,19536,6969,2903,4066,3488,1901,1587,28182,11548,16634,482,363,119,171,168,3,685,214,471,1169,795,374,47,47,0,2462,1743,719,16,13,3,819,673,146,660,648,12,183,174,9,0,0,0,127,94,33,138,103,35,157,96,61,551,226,325,1217,288,929,4919,2777,2142
B0706,`33,`617,District - Cuddalore,Total,30-34,33223,16470,16753,6096,2442,3654,3203,1807,1396,25377,10687,14690,570,415,155,171,160,11,758,292,466,967,735,232,36,34,2,1929,1228,701,6,6,0,871,663,208,624,620,4,210,174,36,5,5,0,73,62,11,140,119,21,86,46,40,296,162,134,847,207,640,3150,1490,1660
B0706,`33,`617,District - Cuddalore,Total,35-39,35117,15839,19278,6556,2570,3986,3488,1892,1596,28503,11112,17391,572,439,133,166,158,8,761,316,445,837,618,219,63,60,3,1957,1230,727,2,0,2,924,692,232,512,504,8,206,166,40,0,0,0,32,27,5,96,81,15,106,69,37,221,95,126,810,109,701,2417,841,1576
B0706,`33,`617,District - Cuddalore,Total,40-49,57027,27654,29373,10497,4324,6173,6124,3664,2460,46682,20059,26623,1151,837,314,193,177,16,1179,575,604,1088,797,291,66,60,6,2803,1543,1260,3,3,0,1474,1084,390,637,619,18,563,430,133,0,0,0,47,42,5,146,133,13,220,166,54,422,169,253,1468,313,1155,3258,1307,1951
B0706,`33,`617,District - Cuddalore,Total,50-59,36138,18328,17810,7039,3122,3917,4331,2735,1596,30456,14145,16311,655,471,184,83,65,18,831,378,453,682,500,182,48,45,3,1377,788,589,6,6,0,798,513,285,223,223,0,207,175,32,3,3,0,21,15,6,123,119,4,200,146,54,172,59,113,828,175,653,2133,889,1244
B0706,`33,`617,District - Cuddalore,Total,60-69,20545,11422,9123,4705,2363,2342,2617,1811,806,18093,9396,8697,453,292,161,28,24,4,476,278,198,352,281,71,8,6,2,597,305,292,3,3,0,430,318,112,67,67,0,124,95,29,0,0,0,5,3,2,46,42,4,68,60,8,53,42,11,474,130,344,1356,632,724
B0706,`33,`617,District - Cuddalore,Total,70-79,6732,4283,2449,1749,1071,678,998,774,224,5754,3509,2245,169,141,28,0,0,0,234,134,100,114,101,13,3,3,0,193,128,65,0,0,0,184,120,64,24,24,0,49,35,14,0,0,0,0,0,0,6,6,0,29,27,2,18,18,0,139,54,85,567,280,287
B0706,`33,`617,District - Cuddalore,Total,80+,1630,1013,617,418,274,144,293,219,74,1309,806,503,51,40,11,0,0,0,42,22,20,7,3,4,0,0,0,34,23,11,0,0,0,27,21,6,6,6,0,5,3,2,0,0,0,0,0,0,3,3,0,0,0,0,6,6,0,44,18,26,221,117,104
B0706,`33,`617,District - Cuddalore,Total,Age not stated,243,120,123,34,15,19,20,11,9,159,66,93,6,6,0,0,0,0,0,0,0,3,3,0,0,0,0,14,6,8,0,0,0,0,0,0,9,9,0,3,3,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,8,0,8,53,31,22
B0706,`33,`617,District - Cuddalore,Rural,Total,231205,110909,120296,44074,17887,26187,27323,16079,11244,196642,85387,111255,3060,2126,934,690,644,46,4148,1528,2620,3878,2434,1444,206,200,6,8636,4820,3816,16,16,0,2556,1720,836,1934,1902,32,666,544,122,12,12,0,152,126,26,312,248,64,504,296,208,1184,490,694,5134,1212,3922,18226,9012,9214
B0706,`33,`617,District - Cuddalore,Rural,`5-9,1831,969,862,96,42,54,288,168,120,323,151,172,16,6,10,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,14,6,1270,670,600
B0706,`33,`617,District - Cuddalore,Rural,`10-14,2873,1418,1455,363,158,205,350,175,175,954,443,511,12,0,12,2,2,0,28,12,16,38,14,24,0,0,0,16,14,2,0,0,0,18,10,8,0,0,0,8,8,0,0,0,0,0,0,0,6,6,0,6,6,0,12,6,6,66,22,44,1720,858,862
B0706,`33,`617,District - Cuddalore,Rural,15-19,11807,5972,5835,2112,1023,1089,1234,652,582,7855,3733,4122,122,98,24,30,30,0,230,56,174,372,172,200,12,12,0,428,372,56,6,6,0,232,174,58,118,106,12,58,58,0,6,6,0,6,6,0,8,8,0,6,0,6,32,16,16,296,110,186,2868,1380,1488
B0706,`33,`617,District - Cuddalore,Rural,20-24,23999,11877,12122,4583,1959,2624,2416,1270,1146,18178,7780,10398,398,308,90,90,88,2,386,116,270,680,448,232,24,24,0,1114,826,288,2,2,0,336,262,74,420,418,2,44,38,6,6,6,0,64,44,20,24,12,12,42,20,22,254,38,216,550,136,414,3554,2000,1554
B0706,`33,`617,District - Cuddalore,Rural,25-29,31715,14831,16884,5921,2223,3698,3289,1783,1506,26013,10423,15590,296,206,90,130,130,0,526,140,386,732,462,270,30,30,0,1698,1070,628,8,8,0,354,272,82,390,384,6,60,58,2,0,0,0,44,38,6,66,46,20,92,54,38,342,166,176,932,214,718,2634,1570,1064
B0706,`33,`617,District - Cuddalore,Rural,30-34,27183,12641,14542,5088,1899,3189,3033,1708,1325,23290,9586,13704,362,244,118,120,112,8,548,176,372,472,310,162,20,20,0,1228,668,560,0,0,0,326,228,98,366,366,0,94,86,8,0,0,0,26,26,0,60,50,10,40,6,34,146,84,62,614,158,456,1526,712,814
B0706,`33,`617,District - Cuddalore,Rural,35-39,29186,12386,16800,5419,1901,3518,3283,1767,1516,26098,9968,16130,330,236,94,116,114,2,536,192,344,434,280,154,42,42,0,1188,626,562,0,0,0,314,206,108,246,240,6,66,46,20,0,0,0,0,0,0,42,30,12,60,28,32,80,42,38,630,92,538,1140,378,762
B0706,`33,`617,District - Cuddalore,Rural,40-49,47568,21983,25585,8645,3201,5444,5733,3400,2333,42778,18050,24728,722,490,232,126,112,14,804,338,466,528,324,204,48,42,6,1650,682,968,0,0,0,478,316,162,290,284,6,196,138,58,0,0,0,12,12,0,38,30,8,126,84,42,204,84,120,1032,224,808,1448,574,874
B0706,`33,`617,District - Cuddalore,Rural,50-59,30413,14829,15584,5960,2443,3517,4062,2546,1516,27879,12680,15199,346,230,116,56,38,18,544,214,330,372,234,138,30,30,0,846,382,464,0,0,0,282,106,176,78,78,0,72,62,10,0,0,0,0,0,0,48,48,0,92,68,24,70,18,52,586,120,466,1010,418,592
B0706,`33,`617,District - Cuddalore,Rural,60-69,17444,9519,7925,4010,1918,2092,2435,1682,753,16615,8561,8054,320,200,120,20,18,2,338,184,154,190,146,44,0,0,0,338,116,222,0,0,0,118,90,28,14,14,0,54,38,16,0,0,0,0,0,0,20,18,2,26,18,8,32,24,8,294,76,218,640,252,388
B0706,`33,`617,District - Cuddalore,Rural,70-79,5654,3560,2094,1485,880,605,912,714,198,5319,3220,2099,104,82,22,0,0,0,178,90,88,54,44,10,0,0,0,102,50,52,0,0,0,86,48,38,6,6,0,12,12,0,0,0,0,0,0,0,0,0,0,14,12,2,6,6,0,86,34,52,260,122,138
B0706,`33,`617,District - Cuddalore,Rural,80+,1337,832,505,363,229,134,268,203,65,1194,730,464,26,20,6,0,0,0,30,10,20,0,0,0,0,0,0,16,8,8,0,0,0,8,6,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,22,12,10,128,66,62
B0706,`33,`617,District - Cuddalore,Rural,Age not stated,195,92,103,29,11,18,20,11,9,146,62,84,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,12,6,6,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,28,12,16
B0706,`33,`617,District - Cuddalore,Urban,Total,49014,29338,19676,8526,5286,3240,1812,1142,670,17171,9126,8045,1746,1408,338,306,287,19,1609,928,681,2982,2461,521,125,115,10,5141,4152,989,31,26,5,4167,3242,925,1591,1556,35,1100,918,182,11,11,0,327,223,104,474,413,61,473,377,96,1098,417,681,2043,499,1544,15333,7323,8010
B0706,`33,`617,District - Cuddalore,Urban,`5-9,863,415,448,27,14,13,14,7,7,22,12,10,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,8,8,0,23,10,13,804,373,431
B0706,`33,`617,District - Cuddalore,Urban,`10-14,1167,578,589,40,27,13,19,8,11,65,32,33,0,0,0,0,0,0,8,2,6,13,10,3,0,0,0,26,17,9,0,0,0,25,18,7,3,3,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,20,14,6,31,15,16,992,481,511
B0706,`33,`617,District - Cuddalore,Urban,15-19,2836,1608,1228,389,264,125,71,31,40,551,323,228,41,35,6,6,6,0,27,20,7,163,121,42,3,3,0,234,205,29,0,0,0,187,123,64,61,58,3,33,33,0,0,0,0,9,6,3,10,6,4,7,4,3,49,18,31,118,56,62,1655,824,831
B0706,`33,`617,District - Cuddalore,Urban,20-24,5684,3313,2371,927,602,325,181,96,85,1350,711,639,108,83,25,56,53,3,112,41,71,365,293,72,21,21,0,581,532,49,3,3,0,394,289,105,161,153,8,68,65,3,3,3,0,93,50,43,37,20,17,50,33,17,168,30,138,238,54,184,2622,1385,1237
B0706,`33,`617,District - Cuddalore,Urban,25-29,6789,4137,2652,1048,680,368,199,118,81,2169,1125,1044,186,157,29,41,38,3,159,74,85,437,333,104,17,17,0,764,673,91,8,5,3,465,401,64,270,264,6,123,116,7,0,0,0,83,56,27,72,57,15,65,42,23,209,60,149,285,74,211,2285,1207,1078
B0706,`33,`617,District - Cuddalore,Urban,30-34,6040,3829,2211,1008,543,465,170,99,71,2087,1101,986,208,171,37,51,48,3,210,116,94,495,425,70,16,14,2,701,560,141,6,6,0,545,435,110,258,254,4,116,88,28,5,5,0,47,36,11,80,69,11,46,40,6,150,78,72,233,49,184,1624,778,846
B0706,`33,`617,District - Cuddalore,Urban,35-39,5931,3453,2478,1137,669,468,205,125,80,2405,1144,1261,242,203,39,50,44,6,225,124,101,403,338,65,21,18,3,769,604,165,2,0,2,610,486,124,266,264,2,140,120,20,0,0,0,32,27,5,54,51,3,46,41,5,141,53,88,180,17,163,1277,463,814
B0706,`33,`617,District - Cuddalore,Urban,40-49,9459,5671,3788,1852,1123,729,391,264,127,3904,2009,1895,429,347,82,67,65,2,375,237,138,560,473,87,18,18,0,1153,861,292,3,3,0,996,768,228,347,335,12,367,292,75,0,0,0,35,30,5,108,103,5,94,82,12,218,85,133,436,89,347,1810,733,1077
B0706,`33,`617,District - Cuddalore,Urban,50-59,5725,3499,2226,1079,679,400,269,189,80,2577,1465,1112,309,241,68,27,27,0,287,164,123,310,266,44,18,15,3,531,406,125,6,6,0,516,407,109,145,145,0,135,113,22,3,3,0,21,15,6,75,71,4,108,78,30,102,41,61,242,55,187,1123,471,652
B0706,`33,`617,District - Cuddalore,Urban,60-69,3101,1903,1198,695,445,250,182,129,53,1478,835,643,133,92,41,8,6,2,138,94,44,162,135,27,8,6,2,259,189,70,3,3,0,312,228,84,53,53,0,70,57,13,0,0,0,5,3,2,26,24,2,42,42,0,21,18,3,180,54,126,716,380,336
B0706,`33,`617,District - Cuddalore,Urban,70-79,1078,723,355,264,191,73,86,60,26,435,289,146,65,59,6,0,0,0,56,44,12,60,57,3,3,3,0,91,78,13,0,0,0,98,72,26,18,18,0,37,23,14,0,0,0,0,0,0,6,6,0,15,15,0,12,12,0,53,20,33,307,158,149
B0706,`33,`617,District - Cuddalore,Urban,80+,293,181,112,55,45,10,25,16,9,115,76,39,25,20,5,0,0,0,12,12,0,7,3,4,0,0,0,18,15,3,0,0,0,19,15,4,6,6,0,3,3,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,22,6,16,93,51,42
B0706,`33,`617,District - Cuddalore,Urban,Age not stated,48,28,20,5,4,1,0,0,0,13,4,9,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,2,0,2,0,0,0,0,0,0,3,3,0,3,3,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,2,0,2,25,19,6
B0706,`33,`618,District - Nagapattinam,Total,Total,158223,90637,67586,27434,12978,14456,13153,9420,3733,128704,64557,64147,4384,3676,708,1304,854,450,2162,986,1176,3636,2832,804,170,148,22,7082,6064,1018,24,24,0,5802,3626,2176,2490,2432,58,1332,1068,264,8,6,2,348,270,78,458,386,72,448,370,78,1384,484,900,1518,632,886,11250,5780,5470
B0706,`33,`618,District - Nagapattinam,Total,`5-9,652,322,330,18,6,12,75,34,41,165,78,87,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,6,6,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,12,6,0,0,0,398,196,202
B0706,`33,`618,District - Nagapattinam,Total,`10-14,1253,699,554,110,74,36,105,67,38,572,324,248,20,14,6,0,0,0,0,0,0,20,18,2,2,2,0,36,30,6,0,0,0,16,14,2,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,32,12,0,0,0,536,260,276
B0706,`33,`618,District - Nagapattinam,Total,15-19,7163,4576,2587,1136,681,455,296,175,121,4825,2878,1947,250,222,28,54,36,18,64,30,34,242,164,78,14,14,0,636,608,28,6,6,0,338,234,104,114,114,0,30,18,12,0,0,0,0,0,0,8,2,6,6,0,6,60,18,42,86,42,44,1270,696,574
B0706,`33,`618,District - Nagapattinam,Total,20-24,15210,9479,5731,2515,1423,1092,778,530,248,10531,5814,4717,440,384,56,124,110,14,168,70,98,496,390,106,10,10,0,1204,1142,62,0,0,0,640,490,150,482,468,14,106,106,0,0,0,0,86,50,36,60,42,18,20,20,0,358,42,316,140,64,76,2082,1170,912
B0706,`33,`618,District - Nagapattinam,Total,25-29,19228,11552,7676,3046,1480,1566,1211,831,380,14203,7201,7002,466,414,52,140,114,26,276,108,168,492,372,120,32,26,6,1420,1278,142,0,0,0,700,524,176,630,612,18,96,96,0,0,0,0,144,120,24,100,84,16,58,44,14,272,90,182,246,124,122,1788,994,794
B0706,`33,`618,District - Nagapattinam,Total,30-34,17685,10157,7528,2962,1316,1646,1426,996,430,14001,6787,7214,568,510,58,152,90,62,200,54,146,474,332,142,38,32,6,902,810,92,0,0,0,624,378,246,476,466,10,128,100,28,0,0,0,50,38,12,78,62,16,64,62,2,182,88,94,110,52,58,1174,616,558
B0706,`33,`618,District - Nagapattinam,Total,35-39,19338,9898,9440,3105,1236,1869,1543,1042,501,16138,6982,9156,622,520,102,184,94,90,260,82,178,418,352,66,34,32,2,766,608,158,6,6,0,690,412,278,262,262,0,132,100,32,2,0,2,24,18,6,68,60,8,60,42,18,106,42,64,216,82,134,912,398,514
B0706,`33,`618,District - Nagapattinam,Total,40-49,35137,18823,16314,5814,2420,3394,2903,2062,841,30534,14163,16371,914,742,172,282,166,116,516,276,240,742,596,146,34,32,2,1160,924,236,6,6,0,1172,686,486,298,290,8,412,326,86,0,0,0,8,8,0,78,70,8,122,108,14,204,100,104,298,120,178,1268,568,700
B0706,`33,`618,District - Nagapattinam,Total,50-59,23622,13305,10317,4251,1887,2364,2243,1633,610,20766,10501,10265,604,504,100,204,122,82,370,200,170,348,282,66,2,0,2,572,400,172,6,6,0,918,528,390,160,160,0,284,214,70,0,0,0,30,30,0,40,40,0,70,52,18,92,30,62,218,66,152,946,424,522
B0706,`33,`618,District - Nagapattinam,Total,60-69,13756,8307,5449,3033,1531,1502,1704,1333,371,12437,6927,5510,320,234,86,140,102,38,196,76,120,286,244,42,4,0,4,280,178,102,0,0,0,486,240,246,44,36,8,92,66,26,6,6,0,0,0,0,14,14,0,34,28,6,34,18,16,142,54,88,570,282,288
B0706,`33,`618,District - Nagapattinam,Total,70-79,4256,2891,1365,1181,749,432,696,574,122,3791,2424,1367,128,100,28,24,20,4,90,78,12,70,48,22,0,0,0,88,68,20,0,0,0,174,94,80,6,6,0,46,36,10,0,0,0,6,6,0,12,12,0,8,8,0,14,12,2,50,26,24,234,128,106
B0706,`33,`618,District - Nagapattinam,Total,80+,828,580,248,247,165,82,167,139,28,684,448,236,46,26,20,0,0,0,22,12,10,30,28,2,0,0,0,6,6,0,0,0,0,42,24,18,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,6,2,4,60,48,12
B0706,`33,`618,District - Nagapattinam,Total,Age not stated,95,48,47,16,10,6,6,4,2,57,30,27,6,6,0,0,0,0,0,0,0,12,6,6,0,0,0,6,6,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,12,0,12
B0706,`33,`618,District - Nagapattinam,Rural,Total,136166,75557,60609,23613,10487,13126,11939,8352,3587,119976,59128,60848,2480,2032,448,166,120,46,1560,730,830,2458,1908,550,84,84,0,5010,4296,714,24,24,0,3574,1980,1594,1678,1628,50,760,626,134,6,6,0,160,112,48,222,186,36,298,262,36,878,318,560,1214,558,656,7292,3694,3598
B0706,`33,`618,District - Nagapattinam,Rural,`5-9,424,203,221,16,5,11,72,32,40,162,76,86,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,6,6,0,0,0,186,92,94
B0706,`33,`618,District - Nagapattinam,Rural,`10-14,940,548,392,100,69,31,98,63,35,546,306,240,8,8,0,0,0,0,0,0,0,20,18,2,2,2,0,24,18,6,0,0,0,16,14,2,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,32,12,0,0,0,276,150,126
B0706,`33,`618,District - Nagapattinam,Rural,15-19,6156,3967,2189,1041,615,426,279,162,117,4572,2712,1860,166,146,20,6,2,4,52,30,22,212,148,64,0,0,0,526,506,20,6,6,0,250,178,72,108,108,0,18,12,6,0,0,0,0,0,0,6,0,6,6,0,6,54,18,36,68,36,32,868,518,350
B0706,`33,`618,District - Nagapattinam,Rural,20-24,12992,7878,5114,2169,1164,1005,712,476,236,9927,5412,4515,292,262,30,18,18,0,122,64,58,390,304,86,10,10,0,1018,972,46,0,0,0,440,320,120,326,312,14,80,80,0,0,0,0,50,26,24,24,6,18,16,16,0,232,24,208,122,58,64,1382,682,700
B0706,`33,`618,District - Nagapattinam,Rural,25-29,16559,9615,6944,2617,1175,1442,1092,726,366,13308,6644,6664,290,252,38,20,18,2,196,70,126,346,254,92,16,16,0,1046,940,106,0,0,0,424,310,114,490,472,18,44,44,0,0,0,0,90,72,18,54,46,8,46,40,6,196,70,126,228,116,112,1290,700,590
B0706,`33,`618,District - Nagapattinam,Rural,30-34,15160,8432,6728,2477,1029,1448,1325,908,417,12952,6167,6785,282,264,18,26,14,12,140,32,108,344,264,80,18,18,0,658,592,66,0,0,0,376,202,174,312,302,10,82,70,12,0,0,0,6,0,6,52,50,2,56,54,2,112,50,62,90,50,40,806,424,382
B0706,`33,`618,District - Nagapattinam,Rural,35-39,16538,8069,8469,2651,978,1673,1397,922,475,14958,6307,8651,310,250,60,24,14,10,198,76,122,222,180,42,20,20,0,518,410,108,6,6,0,394,200,194,152,152,0,80,68,12,0,0,0,0,0,0,36,36,0,40,30,10,52,36,16,174,70,104,608,270,338
B0706,`33,`618,District - Nagapattinam,Rural,40-49,30435,15582,14853,5024,1923,3101,2608,1796,812,28423,12883,15540,544,412,132,40,24,16,376,200,176,478,370,108,18,18,0,660,498,162,6,6,0,666,316,350,180,178,2,234,194,40,0,0,0,2,2,0,36,34,2,78,72,6,102,46,56,226,98,128,782,358,424
B0706,`33,`618,District - Nagapattinam,Rural,50-59,20511,11208,9303,3622,1480,2142,2014,1435,579,19339,9623,9716,336,262,74,18,18,0,246,126,120,194,160,34,0,0,0,330,218,112,6,6,0,592,276,316,80,80,0,160,112,48,0,0,0,6,6,0,14,14,0,36,32,4,46,18,28,146,54,92,570,248,322
B0706,`33,`618,District - Nagapattinam,Rural,60-69,12007,7077,4930,2628,1254,1374,1538,1176,362,11579,6333,5246,148,98,50,8,6,2,136,60,76,194,166,28,0,0,0,184,106,78,0,0,0,270,94,176,24,18,6,40,28,12,6,6,0,0,0,0,0,0,0,14,12,2,22,12,10,112,48,64,360,168,192
B0706,`33,`618,District - Nagapattinam,Rural,70-79,3651,2453,1198,1041,650,391,643,525,118,3519,2222,1297,70,58,12,6,6,0,72,60,12,32,30,2,0,0,0,40,30,10,0,0,0,112,50,62,0,0,0,22,18,4,0,0,0,6,6,0,0,0,0,6,6,0,6,6,0,42,26,16,116,60,56
B0706,`33,`618,District - Nagapattinam,Rural,80+,714,486,228,212,135,77,157,129,28,637,414,223,28,14,14,0,0,0,22,12,10,8,8,0,0,0,0,0,0,0,0,0,0,32,18,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,4,36,24,12
B0706,`33,`618,District - Nagapattinam,Rural,Age not stated,79,39,40,15,10,5,4,2,2,54,29,25,6,6,0,0,0,0,0,0,0,12,6,6,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,12
B0706,`33,`618,District - Nagapattinam,Urban,Total,22057,15080,6977,3821,2491,1330,1214,1068,146,8728,5429,3299,1904,1644,260,1138,734,404,602,256,346,1178,924,254,86,64,22,2072,1768,304,0,0,0,2228,1646,582,812,804,8,572,442,130,2,0,2,188,158,30,236,200,36,150,108,42,506,166,340,304,74,230,3958,2086,1872
B0706,`33,`618,District - Nagapattinam,Urban,`5-9,228,119,109,2,1,1,3,2,1,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,212,104,108
B0706,`33,`618,District - Nagapattinam,Urban,`10-14,313,151,162,10,5,5,7,4,3,26,18,8,12,6,6,0,0,0,0,0,0,0,0,0,0,0,0,12,12,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,260,110,150
B0706,`33,`618,District - Nagapattinam,Urban,15-19,1007,609,398,95,66,29,17,13,4,253,166,87,84,76,8,48,34,14,12,0,12,30,16,14,14,14,0,110,102,8,0,0,0,88,56,32,6,6,0,12,6,6,0,0,0,0,0,0,2,2,0,0,0,0,6,0,6,18,6,12,402,178,224
B0706,`33,`618,District - Nagapattinam,Urban,20-24,2218,1601,617,346,259,87,66,54,12,604,402,202,148,122,26,106,92,14,46,6,40,106,86,20,0,0,0,186,170,16,0,0,0,200,170,30,156,156,0,26,26,0,0,0,0,36,24,12,36,36,0,4,4,0,126,18,108,18,6,12,700,488,212
B0706,`33,`618,District - Nagapattinam,Urban,25-29,2669,1937,732,429,305,124,119,105,14,895,557,338,176,162,14,120,96,24,80,38,42,146,118,28,16,10,6,374,338,36,0,0,0,276,214,62,140,140,0,52,52,0,0,0,0,54,48,6,46,38,8,12,4,8,76,20,56,18,8,10,498,294,204
B0706,`33,`618,District - Nagapattinam,Urban,30-34,2525,1725,800,485,287,198,101,88,13,1049,620,429,286,246,40,126,76,50,60,22,38,130,68,62,20,14,6,244,218,26,0,0,0,248,176,72,164,164,0,46,30,16,0,0,0,44,38,6,26,12,14,8,8,0,70,38,32,20,2,18,368,192,176
B0706,`33,`618,District - Nagapattinam,Urban,35-39,2800,1829,971,454,258,196,146,120,26,1180,675,505,312,270,42,160,80,80,62,6,56,196,172,24,14,12,2,248,198,50,0,0,0,296,212,84,110,110,0,52,32,20,2,0,2,24,18,6,32,24,8,20,12,8,54,6,48,42,12,30,304,128,176
B0706,`33,`618,District - Nagapattinam,Urban,40-49,4702,3241,1461,790,497,293,295,266,29,2111,1280,831,370,330,40,242,142,100,140,76,64,264,226,38,16,14,2,500,426,74,0,0,0,506,370,136,118,112,6,178,132,46,0,0,0,6,6,0,42,36,6,44,36,8,102,54,48,72,22,50,486,210,276
